,state,gender,age,source,file,detail,duration
0,belly_pain,m,26.0,donate_a_cry,999bf14b-e417-4b44-b746-9253f81efe38-1430974001343-1.7-m-26-bp.wav,,6.9
1,belly_pain,f,26.0,donate_a_cry,C421C6FE-DFEE-4080-8AEA-848E7CE4756B-1430548333-1.0-f-26-bp.wav,,7.0
2,belly_pain,m,4.0,donate_a_cry,d6cda191-4962-4308-9a36-46d5648a95ed-1431159262344-1.7-m-04-bp.wav,,6.82
3,belly_pain,m,72.0,donate_a_cry,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138524-1.0-m-72-bp.wav,,7.0
4,belly_pain,m,72.0,donate_a_cry,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138647-1.0-m-72-bp.wav,,7.0
5,belly_pain,m,72.0,donate_a_cry,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138495-1.0-m-72-bp.wav,,7.0
6,belly_pain,m,72.0,donate_a_cry,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138506-1.0-m-72-bp.wav,,7.0
7,belly_pain,m,26.0,donate_a_cry,ae5f103b-5fee-442f-bb1b-d9d0570c46ab-1431533857965-1.7-m-26-bp.wav,,6.96
8,belly_pain,m,4.0,donate_a_cry,d6cda191-4962-4308-9a36-46d5648a95ed-1431159272600-1.7-m-04-bp.wav,,6.84
9,belly_pain,m,4.0,donate_a_cry,d6cda191-4962-4308-9a36-46d5648a95ed-1431700390946-1.7-m-04-bp.wav,,6.84
10,belly_pain,m,72.0,donate_a_cry,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138536-1.0-m-72-bp.wav,,7.0
11,belly_pain,m,72.0,donate_a_cry,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138591-1.0-m-72-bp.wav,,7.0
12,belly_pain,m,72.0,donate_a_cry,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138514-1.0-m-72-bp.wav,,7.0
13,belly_pain,m,26.0,donate_a_cry,69BDA5D6-0276-4462-9BF7-951799563728-1436936185-1.1-m-26-bp.wav,,7.0
14,belly_pain,m,48.0,donate_a_cry,549a46d8-9c84-430e-ade8-97eae2bef787-1430130772174-1.7-m-48-bp.wav,,6.86
15,belly_pain,m,72.0,donate_a_cry,643D64AD-B711-469A-AF69-55C0D5D3E30F-1430138545-1.0-m-72-bp.wav,,7.0
16,discomfort,f,48.0,donate_a_cry,79FF400A-97E2-4701-987D-C7C850D5523C-1430089688-1.0-f-48-dc.wav,,7.0
17,discomfort,f,48.0,donate_a_cry,79FF400A-97E2-4701-987D-C7C850D5523C-1430089621-1.0-f-48-dc.wav,,7.0
18,discomfort,f,48.0,donate_a_cry,1309B82C-F146-46F0-A723-45345AFA6EA8-1430703937-1.0-f-48-dc.wav,,7.0
19,ch,m,4.0,donate_a_cry,999bf14b-e417-4b44-b746-9253f81efe38-1430844994519-1.7-m-04-ch.wav,,6.9
20,discomfort,f,26.0,donate_a_cry,1309B82C-F146-46F0-A723-45345AFA6EA8-1432801703-1.1-f-26-dc.wav,,7.0
21,discomfort,m,26.0,donate_a_cry,2294E2B2-8E36-4DA6-A898-B947CB9446AB-1436462707-1.1-m-26-dc.wav,,7.0
22,discomfort,m,72.0,donate_a_cry,64acb345-a61e-4ef3-a5a6-cf83c04b83f1-1430058990597-1.7-m-72-dc.wav,,6.66
23,ch,m,4.0,donate_a_cry,999bf14b-e417-4b44-b746-9253f81efe38-1430844958178-1.7-m-04-ch.wav,,6.9
24,discomfort,m,72.0,donate_a_cry,64acb345-a61e-4ef3-a5a6-cf83c04b83f1-1430059012473-1.7-m-72-dc.wav,,6.68
25,discomfort,m,22.0,donate_a_cry,837fd072-8704-4196-9ff1-1d2c07886e55-1432429478471-1.7-m-22-dc.wav,,6.96
26,ch,f,26.0,donate_a_cry,f258a8e2-92cd-4843-9da4-80ed26ec8e10-1436944996156-1.7-f-26-ch.wav,,6.66
27,discomfort,f,26.0,donate_a_cry,1309B82C-F146-46F0-A723-45345AFA6EA8-1432801693-1.1-f-26-dc.wav,,7.0
28,ch,m,4.0,donate_a_cry,d6cda191-4962-4308-9a36-46d5648a95ed-1431086262776-1.7-m-04-ch.wav,,6.84
29,discomfort,f,26.0,donate_a_cry,D1CB71F9-EF76-49B3-A703-41D557444D21-1436863419-1.1-f-26-dc.wav,,7.0
30,discomfort,f,26.0,donate_a_cry,10A40438-09AA-4A21-83B4-8119F03F7A11-1430925142-1.0-f-26-dc.wav,,7.0
31,discomfort,m,48.0,donate_a_cry,11417AC2-DCC9-48CD-8177-CA8665E51B2F-1436881512-1.1-m-48-dc.wav,,7.0
